payload,vpa,known_psp_suffix,entropy,digit_ratio,local_part_len,has_amount,amount,has_suspicious_keyword,label
upi://pay?pa=paytrn95@kotak&pn=Prize%20Center&cu=INR&tn=suspend,paytrn95@kotak,1,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=6920364983@axl&pn=Prize%20Center&cu=INR,6920364983@axl,1,2.722,1.0,10,0,0.0,0,1
upi://pay?pa=paytrn393@apl&pn=Refund%20Team&cu=INR&tn=reward,paytrn393@apl,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=4421971379@hdfcbank&pn=Refund%20Team&cu=INR&am=2.11&tn=suspend,4421971379@hdfcbank,1,2.522,1.0,10,1,2.11,1,1
upi://pay?pa=626080554@okicici&pn=KYC%20Support&cu=INR&am=2.7&tn=verify-now,626080554@okicici,1,2.503,1.0,9,1,2.7,1,1
upi://pay?pa=7311357402@idfcbank&pn=Priya%20Singh&cu=INR,7311357402@idfcbank,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=9117872239@kotak&pn=Prize%20Center&cu=INR&tn=refund,9117872239@kotak,1,2.522,1.0,10,0,0.0,1,1
upi://pay?pa=support60@refund-upi&pn=KYC%20Support&cu=INR&tn=blocked,support60@refund-upi,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=goog1e-pay465@kotak&pn=Refund%20Team&cu=INR&tn=verify-now,goog1e-pay465@kotak,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=um8smqp72t@hdfcbank&pn=Refund%20Team&cu=INR&am=3.72&tn=winner,um8smqp72t@hdfcbank,1,3.122,0.3,10,1,3.72,1,1
upi://pay?pa=merchant.6797@oksbi&pn=Sharma%20Kirana%20Store&cu=INR,merchant.6797@oksbi,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=8615468716@upi&pn=Green%20Grocers&cu=INR&am=1458.24,8615468716@upi,1,2.446,1.0,10,1,1458.24,0,0
upi://pay?pa=h4er3urev2z@kotak&pn=Verify%20Account&cu=INR&tn=kyc,h4er3urev2z@kotak,1,3.096,0.273,11,0,0.0,1,1
upi://pay?pa=merchant.1769@upi&pn=Priya%20Singh&cu=INR&am=2821.11,merchant.1769@upi,1,3.7,0.308,13,1,2821.11,0,0
upi://pay?pa=merchant.9808@ybl&pn=Sharma%20Kirana%20Store&cu=INR,merchant.9808@ybl,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=goog1e-pay625@ibl&pn=Cashback%20Desk&cu=INR&am=2.0&tn=kyc,goog1e-pay625@ibl,1,3.393,0.308,13,1,2.0,1,1
upi://pay?pa=gi9uolgld7d@okicici&pn=Cashback%20Desk&cu=INR&tn=lottery,gi9uolgld7d@okicici,1,2.914,0.182,11,0,0.0,1,1
upi://pay?pa=7497126699@ybl&pn=Priya%20Singh&cu=INR,7497126699@ybl,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=paytrn717@paytm&pn=Cashback%20Desk&cu=INR,paytrn717@paytm,1,2.948,0.333,9,0,0.0,0,1
upi://pay?pa=merchant.6811@jio&pn=Om%20Traders&cu=INR,merchant.6811@jio,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=x4z5w67faayfai@axl&pn=Cashback%20Desk&cu=INR&am=1.1&tn=winner,x4z5w67faayfai@axl,1,3.325,0.286,14,1,1.1,1,1
upi://pay?pa=merchant.1976@idfcbank&pn=Priya%20Singh&cu=INR,merchant.1976@idfcbank,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=6009314097@paytm&pn=Refund%20Team&cu=INR&am=1.23&tn=suspend,6009314097@paytm,1,2.646,1.0,10,1,1.23,1,1
upi://pay?pa=6031038259@kotak&pn=Rahul%20Sharma&cu=INR,6031038259@kotak,1,2.922,1.0,10,0,0.0,0,0
upi://pay?pa=5135581919@ibl&pn=Verify%20Account&cu=INR&am=3.27&tn=kyc,5135581919@ibl,1,2.171,1.0,10,1,3.27,1,1
upi://pay?pa=merchant.219@okicici&pn=Rahul%20Sharma&cu=INR&am=2136.39,merchant.219@okicici,1,3.585,0.25,12,1,2136.39,0,0
upi://pay?pa=merchant.1630@ibl&pn=Priya%20Singh&cu=INR,merchant.1630@ibl,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=goog1e-pay528@idfcbank&pn=Prize%20Center&cu=INR&tn=suspend,goog1e-pay528@idfcbank,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=merchant.1683@okhdfcbank&pn=Priya%20Singh&cu=INR&am=4927.81,merchant.1683@okhdfcbank,1,3.7,0.308,13,1,4927.81,0,0
upi://pay?pa=sunita.devi@apl&pn=Green%20Grocers&cu=INR,sunita.devi@apl,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=h4mqwe12iu@okhdfcbank&pn=Verify%20Account&cu=INR&tn=cashback,h4mqwe12iu@okhdfcbank,1,3.322,0.3,10,0,0.0,1,1
upi://pay?pa=phcnpe720@axl&pn=Prize%20Center&cu=INR&am=2.71&tn=winner,phcnpe720@axl,1,2.948,0.333,9,1,2.71,1,1
upi://pay?pa=kyc-team52@xn--upi&pn=Prize%20Center&cu=INR&tn=refund,kyc-team52@xn--upi,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=68po55qy6orre@apl&pn=Verify%20Account&cu=INR&tn=refund,68po55qy6orre@apl,1,3.085,0.385,13,0,0.0,1,1
upi://pay?pa=8610929406@idfcbank&pn=Priya%20Singh&cu=INR,8610929406@idfcbank,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=rahul.sharma@okicici&pn=Priya%20Singh&cu=INR&am=4807.48,rahul.sharma@okicici,1,2.855,0.0,12,1,4807.48,0,0
upi://pay?pa=idr6k3lyyz7prt@oksbi&pn=Prize%20Center&cu=INR&tn=blocked,idr6k3lyyz7prt@oksbi,1,3.522,0.214,14,0,0.0,1,1
upi://pay?pa=9095132695@ybl&pn=Prize%20Center&cu=INR&tn=suspend,9095132695@ybl,1,2.646,1.0,10,0,0.0,1,1
upi://pay?pa=merchant.1858@kotak&pn=Om%20Traders&cu=INR,merchant.1858@kotak,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=6384695916@kotak&pn=Cashback%20Desk&cu=INR&am=3.94&tn=blocked,6384695916@kotak,1,2.646,1.0,10,1,3.94,1,1
upi://pay?pa=priya123@jio&pn=Om%20Traders&cu=INR,priya123@jio,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=priya123@okicici&pn=Priya%20Singh&cu=INR&am=4722.17,priya123@okicici,1,3.0,0.375,8,1,4722.17,0,0
upi://pay?pa=vendor.shop@okaxis&pn=Priya%20Singh&cu=INR,vendor.shop@okaxis,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=9856593038@ibl&pn=Auto%20Rickshaw%20Stand&cu=INR,9856593038@ibl,1,2.522,1.0,10,0,0.0,0,0
upi://pay?pa=jwavlfdjyujjv8lr@idfcbank&pn=Verify%20Account&cu=INR&tn=suspend,jwavlfdjyujjv8lr@idfcbank,1,3.25,0.062,16,0,0.0,1,1
upi://pay?pa=y0xa0rk8cjr@okhdfcbank&pn=Refund%20Team&cu=INR&tn=urgent,y0xa0rk8cjr@okhdfcbank,1,3.096,0.273,11,0,0.0,1,1
upi://pay?pa=cashback34@pay-verify&pn=Verify%20Account&cu=INR&tn=kyc,cashback34@pay-verify,0,2.922,0.2,10,0,0.0,1,1
upi://pay?pa=7346406906@apl&pn=Sharma%20Kirana%20Store&cu=INR&am=4040.12,7346406906@apl,1,2.446,1.0,10,1,4040.12,0,0
upi://pay?pa=7762397336@kotak&pn=Cashback%20Desk&cu=INR&tn=verify-now,7762397336@kotak,1,2.171,1.0,10,0,0.0,1,1
upi://pay?pa=rahul.sharma@okhdfcbank&pn=City%20Cafe&cu=INR,rahul.sharma@okhdfcbank,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=sunita.devi@axl&pn=City%20Cafe&cu=INR,sunita.devi@axl,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=2193606845@hdfcbank&pn=Refund%20Team&cu=INR&tn=reward,2193606845@hdfcbank,1,3.122,1.0,10,0,0.0,1,1
upi://pay?pa=3944667948@upi&pn=KYC%20Support&cu=INR,3944667948@upi,1,2.446,1.0,10,0,0.0,0,1
upi://pay?pa=goog1e-pay51@jio&pn=Cashback%20Desk&cu=INR&tn=verify-now,goog1e-pay51@jio,1,3.085,0.25,12,0,0.0,1,1
upi://pay?pa=priya123@hdfcbank&pn=City%20Cafe&cu=INR,priya123@hdfcbank,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=9697071731@kotak&pn=Auto%20Rickshaw%20Stand&cu=INR,9697071731@kotak,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=sunita.devi@jio&pn=Auto%20Rickshaw%20Stand&cu=INR,sunita.devi@jio,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=merchant.8139@kotak&pn=Om%20Traders&cu=INR&am=2191.57,merchant.8139@kotak,1,3.7,0.308,13,1,2191.57,0,0
upi://pay?pa=vendor.shop@okicici&pn=City%20Cafe&cu=INR,vendor.shop@okicici,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=6464196524@upi&pn=Om%20Traders&cu=INR,6464196524@upi,1,2.371,1.0,10,0,0.0,0,0
upi://pay?pa=amit.kumar@okicici&pn=City%20Cafe&cu=INR,amit.kumar@okicici,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=merchant.6871@hdfcbank&pn=Rahul%20Sharma&cu=INR,merchant.6871@hdfcbank,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=fzdtc5paygaa70t@okicici&pn=Verify%20Account&cu=INR&tn=kyc,fzdtc5paygaa70t@okicici,1,3.457,0.2,15,0,0.0,1,1
upi://pay?pa=goog1e-pay266@paytm&pn=Refund%20Team&cu=INR&tn=cashback,goog1e-pay266@paytm,1,3.239,0.308,13,0,0.0,1,1
upi://pay?pa=rahul.sharma@oksbi&pn=Priya%20Singh&cu=INR,rahul.sharma@oksbi,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=support59@pay-verify&pn=KYC%20Support&cu=INR&tn=cashback,support59@pay-verify,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=priya123@apl&pn=Rahul%20Sharma&cu=INR,priya123@apl,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=merchant.6250@idfcbank&pn=Priya%20Singh&cu=INR&am=3465.14,merchant.6250@idfcbank,1,3.7,0.308,13,1,3465.14,0,0
upi://pay?pa=lsul8snw74yrtu7@oksbi&pn=Verify%20Account&cu=INR&tn=verify-now,lsul8snw74yrtu7@oksbi,1,3.374,0.267,15,0,0.0,1,1
upi://pay?pa=8468241289@okhdfcbank&pn=Green%20Grocers&cu=INR,8468241289@okhdfcbank,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.4234@ibl&pn=Om%20Traders&cu=INR,merchant.4234@ibl,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=fejrk2lbimn@idfcbank&pn=Prize%20Center&cu=INR&tn=reward,fejrk2lbimn@idfcbank,1,3.459,0.091,11,0,0.0,1,1
upi://pay?pa=sunita.devi@okaxis&pn=City%20Cafe&cu=INR,sunita.devi@okaxis,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=0azp79uvhsdux5@jio&pn=Verify%20Account&cu=INR&am=2.16&tn=blocked,0azp79uvhsdux5@jio,1,3.664,0.286,14,1,2.16,1,1
upi://pay?pa=refund42@secure-pay&pn=Prize%20Center&cu=INR&tn=lottery,refund42@secure-pay,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=merchant.4273@okaxis&pn=Green%20Grocers&cu=INR,merchant.4273@okaxis,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=9110133535@oksbi&pn=City%20Cafe&cu=INR&am=787.61,9110133535@oksbi,1,2.171,1.0,10,1,787.61,0,0
upi://pay?pa=merchant.6139@axl&pn=City%20Cafe&cu=INR,merchant.6139@axl,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=6843321095@okaxis&pn=Sharma%20Kirana%20Store&cu=INR&am=183.31,6843321095@okaxis,1,3.122,1.0,10,1,183.31,0,0
